,,effort,effort,effort,volume,volume,volume,difficulty,difficulty,difficulty
,,mean,std,median,mean,std,median,mean,std,median
sdk,dataset,,,,,,,,,
Cirq,With import,17465.903,17693.352,11024.944,580.13,241.399,520.182,25.349,13.31,21.5
Cirq,Without import,17932.207,19239.557,10818.96,553.033,238.676,489.717,26.779,15.126,21.918
PennyLane,With import,13304.14,10893.93,10510.915,492.583,193.945,444.434,24.248,8.251,22.018
PennyLane,Without import,14449.187,12682.552,11105.735,454.774,186.788,410.447,28.184,10.384,24.923
Qiskit,With import,13792.605,10666.665,9632.388,545.726,185.376,506.13,22.611,9.137,19.024
Qiskit,Without import,18923.547,16950.259,12259.581,463.63,178.428,423.733,35.223,17.062,29.0
Q#,With import,19493.949,15647.462,14053.557,747.618,290.867,649.11,23.346,8.173,21.471
Q#,Without import,18960.502,18103.25,12777.653,608.14,272.072,512.478,26.709,11.601,24.3
